31 03|02 03 08 10 13 25 28 31 36 40 44 49 57 59 61 64 67 72 74 77
30 03|01 06 09 10 13 15 19 28 35 37 39 42 44 45 52 59 60 64 75 76
29 03|07 18 19 21 23 36 37 44 48 49 50 55 59 60 66 70 71 74 77 79
28 03|04 05 06 15 17 23 27 32 34 36 54 60 62 63 66 68 69 75 77 80
27 03|14 16 17 24 25 26 27 29 45 48 49 54 60 62 64 71 73 75 78 80
26 03|02 04 06 14 17 18 19 22 28 30 33 34 42 48 51 56 59 73 75 79
25 03|01 02 09 10 15 16 29 33 35 39 49 52 54 58 62 63 64 71 72 78
24 03|04 07 09 10 11 13 16 18 19 21 24 32 35 36 42 58 60 62 64 69
23 03|04 06 08 09 11 12 15 17 18 33 36 37 38 40 44 46 56 60 63 64
22 03|04 07 13 14 17 21 31 32 34 36 42 47 50 54 55 58 62 73 75 79
21 03|02 16 20 21 25 31 32 35 40 41 56 58 59 63 66 70 75 76 77 79
20 03|01 03 06 07 12 13 15 17 19 26 30 31 33 36 47 48 54 69 71 79
19 03|02 03 04 08 10 11 13 24 30 38 39 40 44 45 51 54 58 63 66 75
18 03|01 05 09 20 28 34 35 37 41 44 46 50 51 54 55 63 65 68 72 77
17 03|01 05 08 09 12 16 18 19 25 27 29 34 49 53 56 68 69 74 78 80
16 03|05 15 18 19 29 31 35 36 38 41 42 47 48 49 54 64 66 69 71 72
15 03|01 03 16 17 18 19 27 37 40 45 49 50 55 56 58 60 64 73 74 77
14 03|05 09 11 14 16 17 18 22 29 32 46 53 54 60 64 65 66 68 71 77
13 03|01 03 09 12 17 18 20 23 27 28 30 32 36 48 56 57 58 62 71 79
12 03|02 06 08 13 17 19 23 24 26 35 39 44 47 48 58 64 65 66 68 70
11 03|03 07 16 21 23 24 26 32 34 40 46 60 66 67 68 70 71 75 76 79
10 03|03 05 06 11 12 13 16 20 27 32 41 44 49 50 54 57 59 67 71 76
09 03|09 15 19 23 30 32 33 34 38 42 44 45 46 48 50 52 53 54 58 60
08 03|03 12 15 23 24 30 32 35 40 41 42 51 56 61 66 70 71 72 74 78
07 03|02 03 06 13 22 25 28 29 32 43 54 55 63 66 67 69 70 73 75 76
06 03|03 08 10 12 17 26 36 49 53 54 59 60 65 66 69 70 71 72 75 78
05 03|02 05 10 11 24 27 29 31 36 37 39 54 56 57 63 64 67 76 78 80
04 03|02 04 07 09 10 13 22 28 34 45 48 60 64 65 66 72 75 76 77 79
03 03|03 04 08 09 23 26 27 28 32 37 41 47 55 59 60 65 72 73 77 80
02 03|06 07 11 12 21 23 28 31 32 39 40 42 52 61 65 66 68 73 74 77
01 03|03 06 07 09 14 30 38 39 40 43 44 45 47 48 55 59 66 70 78 80
