29 04|01 05 08 09 13 15 17 20 24 30 32 34 35 37 43 48 52 60 64 79
28 04|08 10 12 14 20 23 24 34 37 39 41 42 43 46 47 48 55 63 67 70
27 04|04 06 07 10 16 18 23 26 33 35 37 39 45 48 55 56 58 65 66 72
26 04|01 10 12 13 16 22 23 25 26 29 33 37 43 44 50 52 58 63 69 79 
25 04|02 04 14 18 23 25 28 38 39 44 47 49 51 52 59 64 66 72 74 75
24 04|01 04 10 12 15 19 25 26 28 30 31 34 38 39 46 60 62 67 68 70
23 04|05 12 16 17 21 25 29 30 34 38 42 43 46 50 56 57 61 68 70 75 
22 04|07 10 13 19 20 21 25 28 29 30 36 40 45 47 48 54 62 75 78 79
21 04|01 05 06 14 30 34 40 42 43 44 46 48 52 55 61 67 69 73 76 78
20 04|02 05 06 07 08 12 14 18 20 21 24 26 36 44 52 55 58 59 70 76
19 04|03 04 05 07 08 13 14 19 25 38 50 51 52 57 58 62 71 73 74 76
18 04|03 12 14 15 22 32 34 35 42 46 48 55 56 58 61 62 66 74 78 79
17 04|01 04 10 33 35 37 40 44 46 49 50 51 52 54 56 59 62 70 72 79
16 04|03 06 11 13 15 18 25 32 33 35 42 44 49 51 54 59 61 63 67 74
15 04|02 06 12 19 23 24 35 37 38 39 40 41 47 58 59 64 67 68 73 74
14 04|05 06 23 28 30 31 34 44 49 52 56 57 58 63 66 67 68 74 75 77
13 04|01 03 05 10 11 14 17 23 25 31 34 47 51 53 61 70 71 72 75 78
12 04|13 14 16 21 29 34 41 51 53 54 55 56 61 62 68 70 73 74 75 77
11 04|08 13 15 20 25 28 31 32 35 43 44 46 48 54 66 70 71 74 79 80
10 04|07 26 33 36 38 41 44 51 52 54 55 56 60 63 64 66 67 72 77 80
09 04|05 08 09 13 18 21 22 30 31 41 44 47 48 53 54 59 64 65 67 79
08 04|05 06 07 09 11 13 16 21 31 34 40 41 44 47 49 53 59 61 67 74
07 04|01 05 07 16 17 18 22 29 31 36 43 51 54 55 60 61 64 69 71 73
06 04|03 05 07 08 13 14 19 27 29 32 44 45 56 63 65 73 74 76 78 79
05 04|01 03 09 16 20 27 29 30 31 32 33 34 36 38 40 42 43 47 51 63
04 04|05 06 10 11 12 14 21 25 28 30 33 35 37 46 53 57 65 72 77 79
01 04|04 06 07 08 09 11 26 29 39 45 46 48 49 51 54 61 63 66 67 75
